"","Date","Category","Value","layer"
"341",2020-05-30,"Deaths_Age18_29",0,"DeathsAgeT"
"342",2020-05-31,"Deaths_Age18_29",0,"DeathsAgeT"
"343",2020-06-01,"Deaths_Age18_29",0,"DeathsAgeT"
"344",2020-06-02,"Deaths_Age18_29",0,"DeathsAgeT"
"345",2020-06-03,"Deaths_Age18_29",2,"DeathsAgeT"
"346",2020-06-04,"Deaths_Age18_29",0,"DeathsAgeT"
"347",2020-06-05,"Deaths_Age18_29",0,"DeathsAgeT"
"348",2020-06-06,"Deaths_Age18_29",0,"DeathsAgeT"
"349",2020-06-07,"Deaths_Age18_29",0,"DeathsAgeT"
"350",2020-06-08,"Deaths_Age18_29",0,"DeathsAgeT"
"351",2020-06-09,"Deaths_Age18_29",0,"DeathsAgeT"
"352",2020-06-10,"Deaths_Age18_29",0,"DeathsAgeT"
"353",2020-06-11,"Deaths_Age18_29",0,"DeathsAgeT"
"354",2020-06-12,"Deaths_Age18_29",0,"DeathsAgeT"
"355",2020-06-13,"Deaths_Age18_29",0,"DeathsAgeT"
"356",2020-06-14,"Deaths_Age18_29",0,"DeathsAgeT"
"357",2020-06-15,"Deaths_Age18_29",0,"DeathsAgeT"
"358",2020-06-16,"Deaths_Age18_29",1,"DeathsAgeT"
"359",2020-06-17,"Deaths_Age18_29",0,"DeathsAgeT"
"360",2020-06-18,"Deaths_Age18_29",0,"DeathsAgeT"
"361",2020-06-19,"Deaths_Age18_29",0,"DeathsAgeT"
"362",2020-06-20,"Deaths_Age18_29",0,"DeathsAgeT"
"363",2020-06-21,"Deaths_Age18_29",0,"DeathsAgeT"
"364",2020-06-22,"Deaths_Age18_29",1,"DeathsAgeT"
"365",2020-06-23,"Deaths_Age18_29",0,"DeathsAgeT"
"366",2020-06-24,"Deaths_Age18_29",0,"DeathsAgeT"
"367",2020-06-25,"Deaths_Age18_29",0,"DeathsAgeT"
"368",2020-06-26,"Deaths_Age18_29",0,"DeathsAgeT"
"369",2020-06-27,"Deaths_Age18_29",0,"DeathsAgeT"
"370",2020-06-28,"Deaths_Age18_29",0,"DeathsAgeT"
"371",2020-06-29,"Deaths_Age18_29",0,"DeathsAgeT"
"372",2020-06-30,"Deaths_Age18_29",0,"DeathsAgeT"
"373",2020-07-01,"Deaths_Age18_29",0,"DeathsAgeT"
"374",2020-07-02,"Deaths_Age18_29",0,"DeathsAgeT"
"375",2020-07-03,"Deaths_Age18_29",0,"DeathsAgeT"
"376",2020-07-04,"Deaths_Age18_29",0,"DeathsAgeT"
"377",2020-07-05,"Deaths_Age18_29",0,"DeathsAgeT"
"378",2020-07-06,"Deaths_Age18_29",0,"DeathsAgeT"
"379",2020-07-07,"Deaths_Age18_29",0,"DeathsAgeT"
"380",2020-07-08,"Deaths_Age18_29",0,"DeathsAgeT"
"381",2020-07-09,"Deaths_Age18_29",0,"DeathsAgeT"
"382",2020-07-10,"Deaths_Age18_29",0,"DeathsAgeT"
"383",2020-07-11,"Deaths_Age18_29",1,"DeathsAgeT"
"384",2020-07-12,"Deaths_Age18_29",0,"DeathsAgeT"
"385",2020-07-13,"Deaths_Age18_29",1,"DeathsAgeT"
"386",2020-07-14,"Deaths_Age18_29",0,"DeathsAgeT"
"387",2020-07-15,"Deaths_Age18_29",0,"DeathsAgeT"
"388",2020-07-16,"Deaths_Age18_29",0,"DeathsAgeT"
"389",2020-07-17,"Deaths_Age18_29",0,"DeathsAgeT"
"390",2020-07-18,"Deaths_Age18_29",0,"DeathsAgeT"
"391",2020-07-19,"Deaths_Age18_29",0,"DeathsAgeT"
"392",2020-07-20,"Deaths_Age18_29",0,"DeathsAgeT"
"393",2020-07-21,"Deaths_Age18_29",0,"DeathsAgeT"
"394",2020-07-22,"Deaths_Age18_29",0,"DeathsAgeT"
"395",2020-07-23,"Deaths_Age18_29",0,"DeathsAgeT"
"396",2020-07-24,"Deaths_Age18_29",0,"DeathsAgeT"
"397",2020-07-25,"Deaths_Age18_29",0,"DeathsAgeT"
